"applicationKey"
"sites-component-distributor|1.14.0"
"sites-component-contact|1.21.0"
"sites-component-footer|1.20.0"
"sites-component-event|1.23.0"
"sites-component-team-members-page|1.20.0"
"suggested-content-email-config|1.0.0"
"sites-component-common-info|1.6.0"
"sites-component-hero-agency|1.37.0"
"sites-component-news|1.17.0"
"sites-component-services|1.18.0"
"sites-component-header|0.7.0"
"widget-catalogue|0.2.0"
"sites-component-rsvp|1.12.0"
"sites-component-frame|1.2.0"
"sites-component-hero|1.37.0"
"report-execution-fe|1.3.3"
"sites-component-custom-content|1.21.0"
"sites-component-landing-page-hero|0.2.0"
"sites-layout-configurator-fe|3.18.0"
"token-editor|1.15.0"
"sites-component-team-members|1.21.0"
"contact-action-configuration-admin-ui|0.1.0-SNAPSHOT"
"sites-component-cards|1.42.0"
"news|0.0.1-SNAPSHOT"
"sites-component-custom-page|1.16.0"
"sites-component-location|1.24.0"
